run,lumisection,title,data
297178,53,adc_PXDisk_-1,"[0.0, 4098.0, 11152.0, 25425.0, 102392.0, 219521.0, 434932.0, 295779.0, 376139.0, 261929.0, 280468.0, 166810.0, 196557.0, 163690.0, 177467.0, 113383.0, 122446.0, 118606.0, 111436.0, 75022.0, 86246.0, 64277.0, 70200.0, 42645.0, 45609.0, 43979.0, 41416.0, 24983.0, 30030.0, 23617.0, 25336.0, 16793.0, 266803.0, 0.0]"
297178,54,adc_PXDisk_-1,"[0.0, 4118.0, 11400.0, 26178.0, 105974.0, 225510.0, 446911.0, 303189.0, 382730.0, 267132.0, 285746.0, 169793.0, 201151.0, 166421.0, 181281.0, 115356.0, 123933.0, 120393.0, 112945.0, 76245.0, 86992.0, 65585.0, 71550.0, 43488.0, 47080.0, 44832.0, 42524.0, 25366.0, 30338.0, 24273.0, 26067.0, 17089.0, 272225.0, 0.0]"
297178,55,adc_PXDisk_-1,"[0.0, 4191.0, 11307.0, 26552.0, 107103.0, 228256.0, 453981.0, 308246.0, 390830.0, 272262.0, 291674.0, 172296.0, 203871.0, 170811.0, 184394.0, 118131.0, 127790.0, 122943.0, 116219.0, 77862.0, 89316.0, 67117.0, 72370.0, 44646.0, 47968.0, 45929.0, 42915.0, 26334.0, 31206.0, 24880.0, 26637.0, 17829.0, 278377.0, 0.0]"
297178,56,adc_PXDisk_-1,"[0.0, 3820.0, 10982.0, 25689.0, 103140.0, 219699.0, 435952.0, 297042.0, 376092.0, 263280.0, 281299.0, 166924.0, 197061.0, 164284.0, 177216.0, 113476.0, 122291.0, 119064.0, 111093.0, 74932.0, 86544.0, 64806.0, 70498.0, 43008.0, 45860.0, 44057.0, 41357.0, 25180.0, 29780.0, 23994.0, 25636.0, 16911.0, 267039.0, 0.0]"
297178,57,adc_PXDisk_-1,"[0.0, 3968.0, 10622.0, 24561.0, 97768.0, 210132.0, 417875.0, 282862.0, 358695.0, 250441.0, 267184.0, 159103.0, 188281.0, 155521.0, 169304.0, 107799.0, 115889.0, 113168.0, 106191.0, 71680.0, 82450.0, 61519.0, 67073.0, 40882.0, 43920.0, 41944.0, 39962.0, 23908.0, 28384.0, 22817.0, 24295.0, 16140.0, 256385.0, 0.0]"
297178,58,adc_PXDisk_-1,"[0.0, 2998.0, 7951.0, 18436.0, 73903.0, 157475.0, 310977.0, 210621.0, 267328.0, 186075.0, 199407.0, 117936.0, 139472.0, 116074.0, 125803.0, 80613.0, 86290.0, 83892.0, 78943.0, 53155.0, 61028.0, 45629.0, 49931.0, 30170.0, 32941.0, 31460.0, 29594.0, 17631.0, 21338.0, 17048.0, 18171.0, 12101.0, 189906.0, 0.0]"
297178,59,adc_PXDisk_-1,"[0.0, 3807.0, 10715.0, 25413.0, 101556.0, 217464.0, 429982.0, 291813.0, 369430.0, 257692.0, 276753.0, 164491.0, 194419.0, 161413.0, 175242.0, 111722.0, 119742.0, 117296.0, 109266.0, 74020.0, 84664.0, 63942.0, 69544.0, 42394.0, 45287.0, 43300.0, 40724.0, 24662.0, 29474.0, 23492.0, 25102.0, 16504.0, 260717.0, 0.0]"
297049,1,adc_PXDisk_-1,"[0.0, 3528.0, 8313.0, 21494.0, 92686.0, 209747.0, 433890.0, 310966.0, 395757.0, 285324.0, 294799.0, 178212.0, 208652.0, 175305.0, 187081.0, 122639.0, 129203.0, 127801.0, 117060.0, 81463.0, 92198.0, 69346.0, 73962.0, 47425.0, 48550.0, 48408.0, 43478.0, 27409.0, 31661.0, 25387.0, 26252.0, 18445.0, 279922.0, 0.0]"
297049,2,adc_PXDisk_-1,"[0.0, 4736.0, 11502.0, 29226.0, 126393.0, 287474.0, 595500.0, 428743.0, 543609.0, 389707.0, 405802.0, 245102.0, 286956.0, 240639.0, 256248.0, 168237.0, 177256.0, 175463.0, 161337.0, 112373.0, 126627.0, 95173.0, 100939.0, 64885.0, 66756.0, 66436.0, 60073.0, 38001.0, 43693.0, 35233.0, 36512.0, 25642.0, 382621.0, 0.0]"
297049,3,adc_PXDisk_-1,"[0.0, 4497.0, 11425.0, 28712.0, 123029.0, 276571.0, 574935.0, 410602.0, 520735.0, 373446.0, 389628.0, 235616.0, 275358.0, 230394.0, 247051.0, 161318.0, 170282.0, 168267.0, 154685.0, 107266.0, 121461.0, 91094.0, 97439.0, 61800.0, 63230.0, 62999.0, 56866.0, 36345.0, 41963.0, 33513.0, 35119.0, 24210.0, 365363.0, 0.0]"
297049,4,adc_PXDisk_-1,"[0.0, 4962.0, 11918.0, 30244.0, 130687.0, 293787.0, 606355.0, 431453.0, 546226.0, 391686.0, 408990.0, 247422.0, 289819.0, 243015.0, 258964.0, 170187.0, 179145.0, 177685.0, 161978.0, 112558.0, 127920.0, 94962.0, 102258.0, 65301.0, 66360.0, 66494.0, 59821.0, 38135.0, 43946.0, 35914.0, 36618.0, 25543.0, 387916.0, 0.0]"
297049,5,adc_PXDisk_-1,"[0.0, 4688.0, 11496.0, 29257.0, 126405.0, 282448.0, 585457.0, 417917.0, 530001.0, 379400.0, 394067.0, 238266.0, 278911.0, 233942.0, 250560.0, 164337.0, 172895.0, 170985.0, 156914.0, 108943.0, 123807.0, 92592.0, 98758.0, 62695.0, 64131.0, 64563.0, 57918.0, 36749.0, 42565.0, 33795.0, 35091.0, 24605.0, 373325.0, 0.0]"
297049,6,adc_PXDisk_-1,"[0.0, 4695.0, 11715.0, 29775.0, 128220.0, 288339.0, 594421.0, 422260.0, 534672.0, 382598.0, 399633.0, 240973.0, 283944.0, 235705.0, 254305.0, 166304.0, 175478.0, 174008.0, 159022.0, 110861.0, 125514.0, 94171.0, 99921.0, 63783.0, 65301.0, 64922.0, 59017.0, 37451.0, 43256.0, 34345.0, 35470.0, 25046.0, 376508.0, 0.0]"
297049,7,adc_PXDisk_-1,"[0.0, 4873.0, 12077.0, 30239.0, 130009.0, 294194.0, 608976.0, 434090.0, 549386.0, 394320.0, 410605.0, 248065.0, 291488.0, 243830.0, 260073.0, 171049.0, 180037.0, 178195.0, 162694.0, 113609.0, 128393.0, 96866.0, 102665.0, 65448.0, 66557.0, 67055.0, 60235.0, 38131.0, 44097.0, 35759.0, 36596.0, 25809.0, 386708.0, 0.0]"
